number,value,datetime_start,datetime_complete,duration,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,state
83,0.8662976136816554,2024-06-07 17:33:13.865787,2024-06-07 17:33:15.178901,0 days 00:00:01.313114,0.024632494051740023,0.03212857781696135,10,5,155,COMPLETE
84,0.8662191016125127,2024-06-07 17:33:14.022369,2024-06-07 17:33:15.600008,0 days 00:00:01.577639,0.024187063289027515,0.03209565822389278,10,5,223,COMPLETE
85,0.866785190689289,2024-06-07 17:33:14.175889,2024-06-07 17:33:15.281624,0 days 00:00:01.105735,0.023746336616023846,0.2918012069368218,9,5,219,COMPLETE
86,0.8948791725561173,2024-06-07 17:33:14.472097,2024-06-07 17:33:15.767681,0 days 00:00:01.295584,0.009524141647322374,0.05098061998885045,9,5,136,COMPLETE
87,0.9389744775886453,2024-06-07 17:33:14.483067,2024-06-07 17:33:16.304441,0 days 00:00:01.821374,0.00040763874043328076,0.06287177366654997,9,5,130,COMPLETE
88,0.9318702031376576,2024-06-07 17:33:14.685222,2024-06-07 17:33:16.386221,0 days 00:00:01.700999,0.0005020984312197787,0.05499527876251785,6,5,157,COMPLETE
89,0.8587775323772122,2024-06-07 17:33:14.699184,2024-06-07 17:33:15.891874,0 days 00:00:01.192690,0.009604619122103152,0.14121826692524425,3,5,236,COMPLETE
90,0.8958471169978859,2024-06-07 17:33:14.987412,2024-06-07 17:33:16.098990,0 days 00:00:01.111578,0.009363612083478478,0.19874070395480717,9,5,240,COMPLETE
91,0.8924474717722681,2024-06-07 17:33:15.180895,2024-06-07 17:33:16.694064,0 days 00:00:01.513169,0.010435227162619215,0.0684700184432439,9,5,232,COMPLETE
92,0.8925702714551963,2024-06-07 17:33:15.282622,2024-06-07 17:33:16.453043,0 days 00:00:01.170421,0.00967013818382575,0.19918279097189862,9,5,239,COMPLETE
93,0.8978063452069587,2024-06-07 17:33:15.602628,2024-06-07 17:33:16.775701,0 days 00:00:01.173073,0.00875116376613918,0.20573322507090447,9,2,235,COMPLETE
94,0.8564929587706875,2024-06-07 17:33:15.770673,2024-06-07 17:33:16.967190,0 days 00:00:01.196517,0.010799987118065374,0.1999866659071181,3,2,235,COMPLETE
95,0.8540426537758314,2024-06-07 17:33:15.893869,2024-06-07 17:33:16.919318,0 days 00:00:01.025449,0.03517568992250668,0.20142736813478904,9,2,194,COMPLETE
96,0.9371136415265473,2024-06-07 17:33:16.101982,2024-06-07 17:33:17.328591,0 days 00:00:01.226609,0.0002860649474771336,0.27725958302888287,9,2,192,COMPLETE
97,0.8912791646508887,2024-06-07 17:33:16.307433,2024-06-07 17:33:17.341222,0 days 00:00:01.033789,0.011079124284287605,0.06807876453189006,10,5,125,COMPLETE
98,0.9379563440447647,2024-06-07 17:33:16.388217,2024-06-07 17:33:18.485441,0 days 00:00:02.097224,0.00012311815865054547,0.07233112321981408,6,5,138,COMPLETE
99,0.9279821359094597,2024-06-07 17:33:16.456035,2024-06-07 17:33:17.894227,0 days 00:00:01.438192,0.0008900755309984285,0.06559351030045901,6,5,132,COMPLETE
100,0.9268845016069057,2024-06-07 17:33:16.695063,2024-06-07 17:33:18.132515,0 days 00:00:01.437452,0.0011870066318632557,0.07531037559707385,6,4,137,COMPLETE
101,0.852136713238161,2024-06-07 17:33:16.778693,2024-06-07 17:33:17.768563,0 days 00:00:00.989870,0.03392534902607131,0.0432603801877513,6,5,120,COMPLETE
102,0.923797580756464,2024-06-07 17:33:16.921319,2024-06-07 17:33:18.619085,0 days 00:00:01.697766,0.0014390967599325047,0.04514840335986485,6,5,122,COMPLETE
103,0.869554168641832,2024-06-07 17:33:16.969186,2024-06-07 17:33:17.995881,0 days 00:00:01.026695,0.021495438574304297,0.0682847610150097,6,4,138,COMPLETE
104,0.9325259696034462,2024-06-07 17:33:17.330586,2024-06-07 17:33:18.976977,0 days 00:00:01.646391,0.0003904626905027196,0.07324560871539423,6,5,128,COMPLETE
105,0.9322052363769604,2024-06-07 17:33:17.344215,2024-06-07 17:33:19.189921,0 days 00:00:01.845706,0.00021040773841104975,0.05295238753180804,6,4,120,COMPLETE
106,0.938013597921196,2024-06-07 17:33:17.770558,2024-06-07 17:33:19.423437,0 days 00:00:01.652879,0.0003002906067915613,0.07541048843503304,7,6,103,COMPLETE
107,0.8703040240379659,2024-06-07 17:33:17.896221,2024-06-07 17:33:18.877244,0 days 00:00:00.981023,0.02128548574288982,0.07667312858772066,6,6,135,COMPLETE
108,0.9201168184191736,2024-06-07 17:33:17.998872,2024-06-07 17:33:19.166982,0 days 00:00:01.168110,0.002862126164788028,0.07768330634758958,7,6,114,COMPLETE
109,0.9278116241977121,2024-06-07 17:33:18.134511,2024-06-07 17:33:19.885322,0 days 00:00:01.750811,0.0009442608617236722,0.04997586803742582,6,4,133,COMPLETE
110,0.7537232441727287,2024-06-07 17:33:18.487437,2024-06-07 17:33:19.470312,0 days 00:00:00.982875,0.1839419432032539,0.055275531023250654,7,6,129,COMPLETE
111,0.8700090529870619,2024-06-07 17:33:18.621080,2024-06-07 17:33:19.702366,0 days 00:00:01.081286,0.021743539508729738,0.05827233697522692,7,6,110,COMPLETE
112,0.8760267488301412,2024-06-07 17:33:18.879242,2024-06-07 17:33:20.139250,0 days 00:00:01.260008,0.018426857671895575,0.05821367826608093,7,5,144,COMPLETE
113,0.8728156952086737,2024-06-07 17:33:18.978972,2024-06-07 17:33:19.862384,0 days 00:00:00.883412,0.019781069387529823,0.07841571580608328,7,6,113,COMPLETE
114,0.8574503655920357,2024-06-07 17:33:19.169974,2024-06-07 17:33:20.305803,0 days 00:00:01.135829,0.030256208084352122,0.05572830494473827,7,5,143,COMPLETE
115,0.8558434402853556,2024-06-07 17:33:19.190918,2024-06-07 17:33:20.395563,0 days 00:00:01.204645,0.031039450229379473,0.05472379117749921,6,4,144,COMPLETE
116,0.8566712461826798,2024-06-07 17:33:19.425432,2024-06-07 17:33:20.416507,0 days 00:00:00.991075,0.031130022278808525,0.06215687063545313,7,6,114,COMPLETE
117,0.8558121432132625,2024-06-07 17:33:19.472307,2024-06-07 17:33:20.320763,0 days 00:00:00.848456,0.030687602547549046,0.07862477967900362,6,4,107,COMPLETE
118,0.8811662662117302,2024-06-07 17:33:19.704361,2024-06-07 17:33:20.702874,0 days 00:00:00.998513,0.01497484530299939,0.06038936454548584,6,4,102,COMPLETE
119,0.8837802962896508,2024-06-07 17:33:19.864378,2024-06-07 17:33:20.899303,0 days 00:00:01.034925,0.013281231961546288,0.06215582694416853,6,4,117,COMPLETE
120,0.8586258943283562,2024-06-07 17:33:19.887317,2024-06-07 17:33:20.885340,0 days 00:00:00.998023,0.029683256786922414,0.06274792774194494,6,4,118,COMPLETE
121,0.8565827763323706,2024-06-07 17:33:20.141244,2024-06-07 17:33:21.024967,0 days 00:00:00.883723,0.029853081242203986,0.062355076974551255,6,4,103,COMPLETE
122,0.8806505238161004,2024-06-07 17:33:20.308796,2024-06-07 17:33:21.587462,0 days 00:00:01.278666,0.015243730088270404,0.063773007868125,6,4,150,COMPLETE
123,0.8793045211709198,2024-06-07 17:33:20.322759,2024-06-07 17:33:21.471773,0 days 00:00:01.149014,0.01349447261172885,0.09800797265953975,5,4,154,COMPLETE
124,0.8804708662260269,2024-06-07 17:33:20.400550,2024-06-07 17:33:21.442849,0 days 00:00:01.042299,0.013841746771569548,0.09556085481920223,5,5,152,COMPLETE
125,0.8824849997226034,2024-06-07 17:33:20.424485,2024-06-07 17:33:21.264327,0 days 00:00:00.839842,0.012806432442021527,0.10190214643983636,5,5,105,COMPLETE
126,0.8936224138789525,2024-06-07 17:33:20.705866,2024-06-07 17:33:21.514657,0 days 00:00:00.808791,0.0076410636920380155,0.10033021361758185,5,5,119,COMPLETE
127,0.8943302147780755,2024-06-07 17:33:20.887335,2024-06-07 17:33:21.967047,0 days 00:00:01.079712,0.007723168656666672,0.10405531794016953,5,5,126,COMPLETE
128,0.8920257477388384,2024-06-07 17:33:20.901298,2024-06-07 17:33:21.951091,0 days 00:00:01.049793,0.007212693343300507,0.2778047764245467,5,5,154,COMPLETE
129,0.8962009721655764,2024-06-07 17:33:21.027959,2024-06-07 17:33:22.241315,0 days 00:00:01.213356,0.007045739194394873,0.09934945275981912,5,5,165,COMPLETE
130,0.9039849949917144,2024-06-07 17:33:21.266321,2024-06-07 17:33:22.377949,0 days 00:00:01.111628,0.006735771277849822,0.11155853363479899,8,5,154,COMPLETE
131,0.9037773650977341,2024-06-07 17:33:21.444844,2024-06-07 17:33:22.791744,0 days 00:00:01.346900,0.007266982737267319,0.11370129434555293,8,5,169,COMPLETE
132,0.9048155865092296,2024-06-07 17:33:21.476759,2024-06-07 17:33:23.591188,0 days 00:00:02.114429,0.00659773521610443,0.03972621610212822,10,5,167,COMPLETE
133,0.8977125724632328,2024-06-07 17:33:21.518646,2024-06-07 17:33:22.651218,0 days 00:00:01.132572,0.007672062117720452,0.27875630216565955,8,5,168,COMPLETE
134,0.9056777920712233,2024-06-07 17:33:21.597435,2024-06-07 17:33:22.897463,0 days 00:00:01.300028,0.006517227258426502,0.11122177911303482,8,5,169,COMPLETE
135,0.9061937039536578,2024-06-07 17:33:21.953085,2024-06-07 17:33:23.356811,0 days 00:00:01.403726,0.006297604099417269,0.0841156081226469,10,5,168,COMPLETE
136,0.9049036564440774,2024-06-07 17:33:21.970039,2024-06-07 17:33:24.034731,0 days 00:00:02.064692,0.006726563828240894,0.04118170555789362,8,5,167,COMPLETE
137,0.9341234523368205,2024-06-07 17:33:22.243309,2024-06-07 17:33:23.951948,0 days 00:00:01.708639,0.0009272785577504735,0.11143664756164698,10,5,161,COMPLETE
138,0.9290641622198916,2024-06-07 17:33:22.380941,2024-06-07 17:33:25.512862,0 days 00:00:03.131921,0.0015847637726987707,0.04002860271444945,10,5,191,COMPLETE
139,0.9371264499033092,2024-06-07 17:33:22.653109,2024-06-07 17:33:25.999258,0 days 00:00:03.346149,0.0006195502929125904,0.03903818127314089,10,5,162,COMPLETE
